
Yellow Homing Rays ! (must name it like in the animés! Haha! ) #sony #a6300 #sonyalpha #flower #macro #macrophotography #yellow #nature pic.twitter.com/1YJXBkPpYc	0	1	
I know it's dumb hopefully they just start using the USA feed by the later games	0	1	
9時に起こして言われて電話したら 電源切れてるって… ひどたんだわ…	0	3	
Esta bueno ver como las Yankees , ahora que BTS pasó por allá, los están empezando a apoyar.	0	0	
That would not be right either. It should be a national crew.	0	0	
have phil whine like he hasn't seen rave in 200,000 years but in fact he saw her the week before HYPOTHETICALLY	0	1	
Obviously more Pittsburgh fans are watching so I'm surprised they didn't use the ROOT (pens) feed	0	0	
.Congrats @JordonMonty50 on signing with the @Yankees today	1	2	
HYPOTHETICALLY personally I feel like since those r the fucking characters we LIVE FOR i could jump back in so easy and just	0	1	
I'M GLAD YOU APPROVE	0	1	
Would be really surprised if they dropped Rays games&other sports. I have Spectrum&customer service said they usually do last minute deal.	0	1	
It still should not be like that. It should not be a team afilated crew working a playoff series when Pitt fans could be watching.	0	0	
RECAP: #Yankees score 8 straight to rally past Rays . http:// ln.is/XelrD by #Yankees via @c0nvey pic.twitter.com/5ThrqYeZQy	0	0	
TAMPA BAY vs. NY YANKEES - Totals Prediction = 28.57% going UNDER #Rays #Yankees	0	0	
Torreyes anotó una en victoria de Yankees ante Tampa http:// dlvr.it/Nt1NMy	0	0	
I think I I saw that. I wish the Rays would have given him more time	0	1	
@Rays _of_Hope	0	0	
Tenho que ir no centro dá Içara, mas também tenho que ir no centro de Criciúma	0	1	
I think they might not have the rights to the USA feed	0	0	
Cubs fans didn't care they were losers. We had 67, 75, 86 World Series losses, 1999, 2003 ALCS losses to Yankees before 04 Not even close https:// twitter.com/mchastain81/st atus/852303855287234561 …	0	0	
This Indians lineup is downright embarrassing but it's not like they're the 27 Yankees . Oh wait... @kingdomejr @Buster_ESPN	0	0	
Catching the perfect rays in our @komono sunnies. pic.twitter.com/62NtCZi3X6	0	1	
The Yankees should play and they are playing the young guys , bird plays 1B and judge plays RF	0	0	
They are? So dumb.	0	0	
@SunTrustPark first proposal was March 31st during an exhibition game against the Yankees @Braves @ajc http://www. ajc.com/news/local/sun trust-park-has-its-first-proposal-and-was-airplane/aamoh4OzZsjU7vDRjsFoMI/ …	0	0	
The @Yankees star pitcher is starting to have elbow problems http:// nyp.st/2pv2GXw via @SMUSportMgt #MLB @nypostsports	0	0	
My boy @TheJudge44 is kicking some ass right now!!! Keep up the great work Aaron. Go Yankees !	0	0	
Check out those crepuscular rays lighting up Capitol Beach Lake! #LNK pic.twitter.com/vpF50mMP3E	1	7	
Eu, sinceramente, tô tentando me programar pra amanhã, mas não consigo	0	0	
" Yankees Rally Past Rays 8-4" via @BleacherReport App: http:// abcnews.go.com/Sports/wireSto ry/montgomery-impresses-debut-yanks-rally-past-rays-46760164 …	0	0	
Torreyes pisó la registradora en el lauro de los Yankees contra Rays https:// goo.gl/4gn0Nw	0	0	
Not a bad Major League debut for @Gumbynation34 #Yankees https:// twitter.com/yesnetwork/sta tus/852274011853774850 …	0	24	
I prefer my Yankees rings lol but these are cool. Who ever designed it did a great job. Maybe its the "round" logo that makes it work.	0	1	
If you're counting the Red Sox out already with Ubaldo pitching against them do us all a favor and go be a Yankees fan. - AB pic.twitter.com/hf4wN5qlJz	5	30	
Team bias aside (go #Yankees ), gorgeous ring	0	0	
Was umping & missed the last 2 innings. Boom @Yankees ! #CrankItFrank #BronxBabyBombers pic.twitter.com/O3ZDLEGl9N	3	5	
H H O N E S T L Y THO	0	1	
At the game to see the #Yankees win, now watching the #Rangers game. #LGR .	0	0	
#sport : Yankees remain baseball's most valuable franchise http:// dlvr.it/Nt1Kyv please retweet	0	0	
I added a video to a @YouTube playlist http:// youtu.be/DaxBXimNqvk?a LATE INNING MAGIC! - MLB The Show 17 White Sox Franchise vs Yankees	0	1	
Velvet Rays 雨宮天 #なうぷれ #アスタルテセレクション	0	0	
Good looking out fam! https:// twitter.com/trollformerlyc b/status/852307094808211457 …	0	0	
Good call on @Yankees stadium crowd now. Average fan priced out of anything but the cheapest of seats. Also, nice kitchen!	0	1	
feat the old rays logo #classic	0	4	
For inquiry : Photo by @iputuandika MUA by @dewi_ rays More info for price list : Phone :… https://www. instagram.com/p/BSzeIjsD2c9/	0	0	
#STLCardsBlog #StLouisCardinals #mlb Michael Wacha Set For Start In Storied Matchup With Yankees http:// dld.bz/fBenb	0	1	
Still love ya @CubsJoeMadd - Miss you with the #Rays - Congratulations to you and the @Cubs again! https:// twitter.com/triciawhitaker /status/852306407709974530 …	0	1	
Thank you so much @Yankees for such a prestigious honor. https:// twitter.com/yankeesondeman d/status/852206323118874628 …	3	5	
Come and see us do the show at @HVSpringfield Market Grille, 11-noon Saturday. Stick around for Cardinals- Yankees at noon on big screens. pic.twitter.com/TNrkTwRGrB	1	3	
:)	0	1	
NEW YORK YANKEES T-SHIRT SIZE L #Majestic #NewYorkYankees http:// pinterest.com/pin/4990552024 47550341/ …	0	1	
Check out NEW YORK YANKEES T-SHIRT SIZE L #Majestic #NewYorkYankees http://www. ebay.com/itm/-/12244450 7098?roken=cUgayN&soutkn=yDBBRd … via @eBay	0	1	
With the Cubs getting their rings tonight, I'll say it again. Eric Hinske has a WS ring with Yankees , Red Sox, and Cubs. Let that sink in.	20	75	
